ch,pyn,py,en
茫,mang2,máng,"vague / vast
vast, with no clear boundary / fig. hazy / indistinct / unclear / confused"
昂,ang2,áng,"high / raise (head), high / soaring / raise / lift / expensive / to raise one's head
to lift / to raise / to raise one's head / high / high spirits / soaring / expensive"
薛,xue1,xuē,"(surname) / wormwood
wormwood like grass (classical)"
皱,zhou4,zhòu,"to wrinkle / wrinkled / to crease
to wrinkle / wrinkled / to crease"
夸,kua1,kuā,"to boast
to boast / to exaggerate / to praise"
豫,yu4,yù,"beforehand / prepare
happy / carefree / at one's ease / variant of 預|预[yu4] / old variant of 與|与[yu4]"
胃,wei4,wèi,"stomach
stomach / CL:個|个[ge4]"
舌,she2,shé,"tongue
tongue"
剥,bo1 / bao1,bō,"peel / to skin
to peel / to skin / to flay / to shuck"
傲,ao4,ào,"proud / overbearing / insolent / arrogant
proud / arrogant / to despise / unyielding / to defy"
拾,shi2,shí,"pick up / ten (fraud-proof)
to pick up / to collate or arrange / ten (banker's anti-fraud numeral)"
窝,wo1,wō,"nest
nest / pit or hollow on the human body / lair / den / place / to harbor or shelter / to hold in check / to bend / classifier for litters and broods"
睁,zheng1,zhēng,"to open (eye)
to open (one's eyes)"
携,xie2,xié,"to carry / to take along / to bring along / to hold (hands)
to carry / to take along / to bring along / to hold (hands) / also pr. [xi1]"
陵,ling2,líng,"mound / tomb / hill / mountain
mound / tomb / hill / mountain"
哼,heng1 / hng,hēng,"hum, (interj. of contempt)
to groan / to snort / to hum / to croon / humph!"
棉,mian2,mián,"cotton
generic term for cotton or kapok / cotton / padded or quilted with cotton"
晴,qing2,qíng,"clear / fine (weather)
clear / fine (weather)"
铃,ling2,líng,"(small) bell
(small) bell / CL:隻|只[zhi1]"
填,tian2,tián,"to fill in
to fill or stuff / (of a form etc) to fill in"
饲,si4,sì,"to raise / to rear / to feed
to raise / to rear / to feed"
渴,ke3,kě,"thirsty
thirsty"
吻,wen3,wěn,"kiss / mouth
variant of 吻[wen3]"
扮,ban4,bàn,"to disguise oneself / to dress up / adorn
to disguise oneself as / to dress up / to play (a role) / to put on (an expression)"
逆,ni4,nì,"contrary / opposite / backwards / to go against / to oppose / to betray / to rebel
contrary / opposite / backwards / to go against / to oppose / to betray / to rebel"
脆,cui4,cùi,"crisp / brittle / clear and loud voice
brittle / fragile / crisp / crunchy / clear and loud voice / neat"
喘,chuan3,chuǎn,"to gasp / to pant / asthma
to gasp / to pant / asthma"
罩,zhao4,zhào,"cover / fish trap (basket) / shade
cover / fish trap (basket) / shade"
卜,bo / bu3,bǔ,"turnip, to divine / foretell
see 蘿蔔|萝卜[luo2 bo5]"
炉,lu2,lú,"stove
variant of 爐|炉[lu2]"
柴,chai2,chái,"(surname) / firewood
firewood / lean (of meat) / thin (of a person)"
愉,yu2,yú,"pleased
pleased"
绳,sheng2,shéng,"rope
rope / CL:根[gen1]"
胎,tai1,tāi,"fetus / litter
fetus / litter / tire / abbr. of 輪胎|轮胎"
蓄,xu4,xù,"to store
to store up / to grow (e.g. a beard) / to entertain (ideas)"
眠,mian2,mián,"sleep
to sleep / to hibernate"
竭,jie2,jié,"exhaust
to exhaust"
喂,wei4,wèi,"(interjection) hello / to feed (someone or some animal) / hey / telephone greeting, to feed
to feed"
傻,sha3,shǎ,"foolish
foolish"
慕,mu4,mù,"admire
to admire"
浑,hun2,hún,"muddy
muddy / to mix"
奸,jian1,jiān,"traitor, adultery
to fornicate / to defile / adultery / rape"
扇,shan1 / shan4,shàn,"to fan, (a measure word for doors, windows, etc.)
fan / sliding, hinged or detachable flat part of sth / classifier for doors, windows etc"
柜,gui4 / ju3,gùi,"cupboard / cabinet / wardrobe, Salix multinervis
cupboard / cabinet / wardrobe"
悦,yue4,yuè,"pleased
pleased"
拦,lan2,lán,"cut off / hinder
to block sb's path / to obstruct / to flag down (a taxi)"
诞,dan4,dàn,"birth / birthday / brag / boast / to increase
birth / birthday / brag / boast / to increase"
饱,bao3,bǎo,"to eat till full / satisfied
to eat till full / satisfied"
乾,gan1 / qian2,gān,"dry, (surname) / male / strong / one of the Eight Trigrams
variant of 乾[qian2]"
泡,pao1 / pao4,pào,"puffed / swollen, to steep / soak / bubble(s) / foam
bubble / foam / blister (i.e. skin bubble) / to soak / to steep / to infuse / to dawdle / to shilly-shally / to hang about / to pick up (a girl) / to get off with (a sexual partner) / classifier for occurrences of an action / classifier for number of infusions"
贼,zei2,zéi,"thief
thief / traitor / wily / deceitful / evil / extremely"
亭,ting2,tíng,"pavilion
pavilion / booth / kiosk / erect"
夕,xi1 / xi4,xī,"evening, dusk
dusk / evening / Taiwan pr. [xi4]"
爹,die1,diē,"dad
dad"
酬,chou2,chóu,"entertain / repay / return / reward / compensate
variant of 酬[chou2]"
儒,ru2,rú,"scholar / Confucian
scholar / Confucian"
姻,yin1,yīn,"marriage connections
variant of 姻[yin1]"
卵,luan3,luǎn,"ovum
egg / ovum / spawn"
氛,fen1,fēn,"miasma / vapor
miasma / vapor"
泄,xie4,xiè,"divulge / leak out
variant of 泄[xie4]"
杆,gan1 / gan3,gān,"pole, measure for guns, stick / pole
stick / pole / lever / classifier for long objects such as guns"
挨,ai1 / ai2,āi,"lean to / in order / in sequence, next to / suffer (hunger) / endure / drag out / delay / stall / play for time
to suffer / to endure / to pull through (hard times) / to delay / to stall / to play for time / to dawdle"
僧,seng1,sēng,"monk
monk / Sangha, the Buddhist monastic order"
蜜,mi4,mì,"honey
honey"
吟,yin2,yín,"moan / to hum
old variant of 吟[yin2]"
猩,xing1,xīng,"ape
ape"
遂,sui4 / sui2,sùi,"forthwith
to satisfy / to succeed / then / thereupon / finally / unexpectedly / to proceed / to reach"
狭,xia2,xiá,"narrow / narrow-minded
old variant of 狹|狭[xia2]"
肖,xiao4 / xiao1,xiào,"similar / resembling / to resemble / to be like
similar / resembling / to resemble / to be like"
甜,tian2,tián,"sweet
sweet"
霞,xia2,xiá,"red clouds
red clouds"
驳,bo2,bó,"argue / parti-colored / tranship / dispute / contradict / refute, argue / parti-colored / tranship
variant of 駁|驳[bo2]"
裕,yu4,yù,"abundant
abundant"
顽,wan2,wán,"mischievous / obstinate / to play / stupid / stubborn / naughty
mischievous / obstinate / to play / stupid / stubborn / naughty"
於,yu1 / yu2,yú,"(surname)
(literary) Oh! / Ah!"
摘,zhai1,zhāi,"to borrow / to pick (flowers, fruit) / to pluck / to take / to select
to take / to borrow / to pick (flowers, fruit etc) / to pluck / to select / to remove / to take off (glasses, hat etc)"
矮,ai3,ǎi,"short (not tall)
low / short (in length)"
秒,miao3,miǎo,"(a measure word) / second
second (of time) / unit of angle or arc equivalent to one sixtieth of a degree"
卿,qing1,qīng,"(old) minister / (old) term of endearment between spouses / thou (poet.)
high ranking official (old) / term of endearment between spouses (old) / (from the Tang Dynasty onwards) term used by the emperor for his subjects (old) / honorific (old)"
畜,chu4 / xu4,chù,"livestock / domesticated animal / domestic animal, to raise (animals)
to raise (animals)"
咽,yan1 / yan4 / ye4,yān,"narrow pass / throat, to swallow, to choke (in crying)
to swallow"
披,pi1,pī,"scatter / separate / to open / to unroll / to spread out
to drape over one's shoulders / to open / to unroll / to split open / to spread out"
辅,fu3,fǔ,"to assist / to complement / auxiliary
to assist / to complement / auxiliary"
勾,gou1 / gou4,gōu,"to cancel / to delineate / hook, affair / to reach for (with hand)
see 勾當|勾当[gou4 dang4]"
盆,pen2,pén,"basin
basin / flower pot / unit of volume equal to 12 斗 and 8 升, approx 128 liters / CL:個|个[ge4]"
疆,jiang1,jiāng,"border / boundary
border / boundary"
赌,du3,dǔ,"bet / gamble
to bet / to gamble"
塑,su4,sù,"to model (a figure) in clay
to model (a figure) in clay"
畏,wei4,wèi,"to fear
to fear"
吵,chao3,chǎo,"to quarrel / to make a noise / noisy / to disturb by making a noise
to quarrel / to make a noise / noisy / to disturb by making a noise"
囊,nang2,náng,"sack
sack / purse / pocket (for money)"
嗯,en1 / ng / en4,嗯,"(a groaning sound)
interjection indicating approval, appreciation or agreement"
泊,bo2,bó,"to anchor / touch at / to moor
lake / Taiwan pr. [bo2]"
肺,fei4,fèi,"lung
lung / CL:個|个[ge4]"
骤,zhou4,zòu,"sudden / suddenly
sudden / unexpected / abrupt / suddenly / Taiwan pr. [zou4]"
缠,chan2,chán,"to bother / wind around / wrap round / coil / involve / annoy / tangle
to wind around / to wrap round / to coil / tangle / to involve / to bother / to annoy"
冈,gang1,gāng,"ridge / mound
ridge / mound"
羞,xiu1,xīu,"shy / ashamed / shame / bashful
shy / ashamed / shame / bashful / variant of 饈|馐[xiu1] / delicacies"
瞪,deng4,dèng,"stare at
to open (one's eyes) wide / to stare at / to glare at"
吊,diao4,diào,"to hang a person, condole with / hang
a string of 100 cash (arch.) / to lament / to condole with / variant of 吊[diao4]"
贾,gu3 / jia3,jiǎ,"merchant / to buy, (surname)
merchant / to buy"
漏,lou4,lòu,"funnel / to leak / to let out / to divulge
to leak / to divulge / to leave out by mistake / waterclock or hourglass (old)"
斑,ban1,bān,"variegated
spot / colored patch / stripe / spotted / striped / variegated"
涛,tao1,tāo,"big wave
big wave / Taiwan pr. [tao2]"
悠,you1,yōu,"at ease / long (in time) / sad
long or drawn out / remote in time or space / leisurely / to swing / pensive / worried"
鹿,lu4,lù,"deer
deer"
俘,fu2,fú,"prisoner of war
to take prisoner / prisoner of war"
锡,xi2 / xi1,xí,"tin
tin (chemistry) / to bestow / to confer / to grant / Taiwan pr. [xi2]"
卑,bei1,bēi,"low / base / vulgar / inferior / humble
low / base / vulgar / inferior / humble"
葬,zang4,zàng,"bury (the dead)
to bury (the dead) / to inter"
铭,ming2,míng,"inscribed motto
to engrave / inscribed motto"
滩,tan1,tān,"beach / shoal
beach / shoal / rapids / CL:片[pian4] / classifier for liquids: pool, puddle"
嫁,jia4,jià,"marry (a husband)
(of a woman) to marry / to marry off a daughter / to shift (blame etc)"
催,cui1,cūi,"urge / press / expedite / prompt / hurry
to urge / to press / to prompt / to rush sb / to hasten sth / to expedite"
璇,xuan2,xuán,"(jade)
variant of 璇[xuan2]"
翅,chi4,chì,"wing
wing"
盒,he2,hé,"small box / case
small box / case"
蛮,man2,mán,"barbarian / bullying / very / quite / rough / reckless
barbarian / bullying / very / quite / rough / reckless"
矣,yi3,yǐ,"final part.
classical final particle, similar to modern 了[le5]"
潘,pan1,pān,"(surname)
surname Pan / Pan, faun in Greek mythology, son of Hermes"
歧,qi2,qí,"divergent / side road
divergent / side road"
赐,ci4,sì,"confer / bestow / grant
to confer / to bestow / to grant"
鲍,bao4,bào,"abalone
abalone"
锅,guo1,guō,"pot / pan / boiler
pot / pan / boiler / CL:口[kou3],隻|只[zhi1]"
廊,lang2,láng,"porch
corridor / veranda / porch"
拆,chai1,chāi,"to tear open / to tear down / to tear apart / to open
to tear open / to tear down / to tear apart / to open"
灌,guan4,guàn,"irrigate / pour
to irrigate / to pour / to install (software) / to record (music)"
勉,mian3,miǎn,"exhort
to exhort / to make an effort"
盲,mang2,máng,"blind
blind"
宰,zai3,zǎi,"slaughter / butcher / govern / rule / official
to slaughter livestock / to govern or rule / to cheat customers / imperial official in dynastic China"
佐,zuo3,zuǒ,"assist
to assist / assistant / aide / to accompany"
啥,sha2,shà,"(dialect) what
dialectal equivalent of 什麼|什么[shen2 me5]"
胀,zhang4,zhàng,"dropsical / swollen / to swell / to be bloated
dropsical / swollen / to swell / to be bloated"
扯,che3,chě,"pull / tear / to talk casually
variant of 扯[che3] / to pull / to tear"
禧,xi3,xǐ,"joy
joy"
辽,liao2,liáo,"Liaoning / name of a dynasty
short name for Liaoning 遼寧|辽宁[Liao2 ning2] province / Liao or Khitan dynasty (907-1125)"
抹,mo3 / mo4,mǒ,"play / to smear, girdle / brassiere / to plaster
to plaster / to go around / to skirt"
筒,tong3,tǒng,"tube / cylinder
variant of 筒[tong3]"
棋,qi2,qí,"chess
variant of 棋[qi2]"
裤,ku4,kù,"drawers / trousers / pants
underpants / trousers / pants"
唉,ai1 / ai4,āi,"an interjection / to express realization or agreement (yes, oh, right, etc), alas / oh dear
alas / oh dear"
朴,po4 / pu3,pò,"Celtis sinensis var. japonica, Pak or Park (Korean surname) / plain and simple
plain and simple / Taiwan pr. [pu2]"
咐,fu4,fù,"to order
to order"
孕,yun4,yùn,"pregnant
pregnant"
誓,shi4,shì,"oath / vow / to swear / to pledge
oath / vow / to swear / to pledge"
喉,hou2,hóu,"throat / larynx
throat / larynx"
妄,wang4,wàng,"absurd / fantastic
absurd / fantastic / presumptuous / rash"
拘,ju1,jū,"adhere / capture / restrain
to capture / to restrain / to constrain / to adhere rigidly to / inflexible"
链,lian4,liàn,"chain / lead or tin ore
chain / cable (unit of length: 100 fathoms, about 185 m) / chain (unit of length: 66 feet, about 20 m) / to chain / to enchain"
驰,chi2,chí,"run fast / speed / spread / gallop
to run fast / to speed / to gallop / to disseminate / to spread"
栏,lan2,lán,"fence / railing / hurdle
fence / railing / hurdle / column or box (of text or other data)"
逝,shi4,shì,"depart / die
(of time) to pass / to die"
窃,qie4,qiè,"I beg to presume / steal
to steal / secretly / (humble) I"
艳,yan4,yàn,"glamorous
variant of 艷|艳[yan4]"
臭,chou4 / xiu4,chòu,"stench / stink / smelly / to smell (bad), sense of smell / smell bad
sense of smell / smell bad"
纤,qian4 / xian1,xiān,"boatman's tow-rope, fine / delicate / minute
fine / delicate / minute"
玑,ji1,jī,"irregular pearl
irregular pearl"
棵,ke1,kē,"M for plants
classifier for trees, cabbages, plants etc"
趁,chen4,chèn,"avail oneself of / take advantage of
old variant of 趁[chen4]"
匠,jiang4,jiàng,"craftsman
craftsman"
盈,ying2,yíng,"full / filled / surplus
full / filled / surplus"
翁,weng1,wēng,"(surname) / elderly person
elderly man / father / father-in-law / neck feathers of a bird (old)"
愁,chou2,chóu,"worry about
to worry about"
瞬,shun4,shùn,"to wink
to wink"
婴,ying1,yīng,"infant / baby
infant / baby"
孝,xiao4,xiào,"filial
filial piety or obedience / mourning apparel"
颈,jing3,jǐng,"neck
neck"
倘,tang3,tǎng,"if
if / supposing / in case"
浙,zhe4,zhè,"Zhejiang
variant of 浙[Zhe4]"
谅,liang4,liàng,"forgive
to show understanding / to excuse / to presume / to expect"
蔽,bi4,bì,"to cover / to shield / to screen / to conceal
to cover / to shield / to screen / to conceal"
畅,chang4,chàng,"smooth / fluent / joyful / happy
free / unimpeded / smooth / at ease / free from worry / fluent"
赠,zeng4,zèng,"give present
to give as a present / to repel / to bestow an honorary title after death (old)"
妮,ni1,nī,"girl / phonetic ""ni"" (in girl's name)
girl / phonetic ""ni"" (in female names) / Taiwan pr. [ni2]"
莎,sha1 / suo1,shā,"(insect) / (phonetic), (grass) / Cyperus rotundus
see 莎草[suo1 cao3] / see 摩莎[mo2 suo1]"
尉,wei4,wèi,"(surname) / milit. official / to quiet
military officer"
冻,dong4,dòng,"to freeze
to freeze / to feel very cold / aspic or jelly"
跪,gui4,gùi,"kneel
to kneel"
闯,chuang3,chuǎng,"to rush / break through
to rush / to charge / to dash / to break through / to temper oneself (through battling hardships)"
葡,pu2,pú,"grapes
see 葡萄[pu2 tao5]"
厨,chu2,chú,"kitchen
kitchen"
鸭,ya1,yā,"duck
duck / CL:隻|只[zhi1] / (slang) male prostitute"
颠,dian1,diān,"inverted / jolt / top
top (of the head) / apex / to fall forwards / inverted / to jolt"
遮,zhe1,zhē,"cover up (a shortcoming) / screen off / to hide / to conceal
to cover up (a shortcoming) / to screen off / to hide / to conceal"
谊,yi4,yí,"friendship
friendship / also pr. [yi2]"
圳,zhen4,zhèn,"furrow in field, small drainage
furrow in field / small drainage"
吁,xu1 / yu4,xū,"sh / hush, implore
to implore"
仑,lun2,lún,"arrange, Koulkun mountains
Kunlun (Karakorum) mountain range in Xinjiang"
辟,bi4 / pi4,pì,"king / emperor / monarch / royal / ward off, law, dispel / open up / refute
to open (a door) / to open up (for development) / to dispel / to refute / to repudiate"
瘤,liu2,líu,"tumor
old variant of 瘤[liu2]"
嫂,sao3,sǎo,"older brother's wife; sister-in-law
older brother's wife / sister-in-law"
陀,tuo2,tuó,"(phonetic) / declivity / steep bank
(phonetic) / declivity / steep bank"
框,kuang4,kuàng,"frame / door frame
frame (e.g. door frame) / casing / fig. framework / template / to circle (i.e. draw a circle around sth) / to frame / to restrict / Taiwan pr. [kuang1]"
谭,tan2,tán,"(surname)
variant of 談|谈[tan2]"
亨,heng1,hēng,"prosperous
prosperous / henry (unit of inductance)"
钦,qin1,qīn,"royal
to respect / to admire / to venerate / by the emperor himself"
庸,yong1,yōng,"ordinary / to use
ordinary / to use"
歉,qian4,qiàn,"apologize / deficient / to regret
to apologize / to regret / deficient"
芝,zhi1,zhī,"Zoysia pungens
Zoysia pungens"
吼,hou3,hǒu,"roar (of a lion)
to roar / to howl / to shriek / roar or howl of an animal / bellow of rage"
甫,fu3,fǔ,"just / just now
(classical) barely / just / just now"
衫,shan1,shān,"Chinese gown (unlined)
garment / jacket with open slits in place of sleeves"
摊,tan1,tān,"spread out / vendor's stand
to spread out / vendor's stand"
宴,yan4,yàn,"feast / repose
variant of 宴[yan4]"
嘱,zhu3,zhǔ,"enjoin
to enjoin / to implore / to urge"
衷,zhong1,zhōng,"inner feelings
inner feelings"
娇,jiao1,jiāo,"lovable / pampered / tender / delicate / frail
lovable / pampered / tender / delicate / frail"
陕,shan3 / Shan3,shǎn,"Shaanxi
abbr. for Shaanxi 陝西|陕西 province"
矩,ju3,jǔ,"carpenter's square / rule
carpenter's square / rule / regulation / pattern / to carve"
浦,pu3,pǔ,"beach
river bank / shore / river drainage ditch (old)"
讶,ya4,yà,"astounded
astounded"
耸,song3,sǒng,"excite / raise up / to shrug / high / lofty / towering
to excite / to raise up / to shrug / high / lofty / towering"
裸,luo3,luǒ,"naked
variant of 裸[luo3]"
碧,bi4,bì,"green jade / bluish green / blue / jade
green jade / bluish green / blue / jade"
摧,cui1,cūi,"break / destroy / devastate / ravage / repress
to break / to destroy / to devastate / to ravage / to repress"
薪,xin1,xīn,"fuel / salary
fuel / salary"
淋,lin4 / lin2,lín,"diseases of the bladder / to drain / to drip
to filter / to strain / to drain / gonorrhea / (TCM) strangury"
耻,chi3,chǐ,"shame / disgrace
shame / disgrace"
胶,jiao1,xiáo,"glue / gum
to glue / glue / gum / rubber"
屠,tu2,tú,"slaughter / slaughter man
to slaughter (animals for food) / to massacre"
鹅,e2,é,"goose
variant of 鵝|鹅[e2]"
饥,ji1,jī,"hungry
variant of 飢|饥[ji1]"
盼,pan4,pàn,"to hope for / to long for / to expect
to hope for / to long for / to expect"
脖,bo2,bó,"neck
neck"
虹,hong2 / jiang4,hóng,"rainbow, rainbow
rainbow"
翠,cui4,cùi,"bluish-green / green jade
bluish-green / green jade"
崩,beng1,bēng,"collapse / fall into ruins
to collapse / to fall into ruins / death of king or emperor / demise"
账,zhang4,zhàng,"account
account / bill / debt / CL:本[ben3],筆|笔[bi3]"
萍,ping2,píng,"duckweed
duckweed"
逢,feng2,féng,"every time / meet by chance
to meet by chance / to come across / (of a calendar event) to come along / (of an event) to fall on (a particular day) / to fawn upon"
赚,zhuan4 / zuan4,zhuàn,"earn / make a profit, cheat / swindle
to cheat / to swindle"
撑,cheng1,chēng,"support / prop-up / to pole a boat / to open / to overfill
to support / to prop up / to push or move with a pole / to maintain / to open or unfurl / to fill to bursting point / brace / stay / support"
翔,xiang2,xiáng,"soar
to soar / to glide / variant of 詳|详[xiang2]"
倡,chang4,chàng,"initiate / instigate / introduce / lead / initiate
to initiate / to instigate / to introduce / to lead"
绵,mian2,mián,"cotton / incessant / soft / downy
old variant of 綿|绵[mian2] / cotton"
猴,hou2,hóu,"monkey
monkey / CL:隻|只[zhi1]"
枯,ku1,kū,"dried up
dried up"
巫,wu1,wū,"witch
witch / wizard / shaman / also pr. [wu2]"
昭,zhao1,zhāo,"illustrious / manifest
bright / clear / manifest / to show clearly"
怔,zheng1,zhēng,"be startled
stumped for words / to stare blankly"
渊,yuan1,yuān,"abyss
deep pool / deep / profound"
凑,cou4,còu,"assemble / put together / press near / come together
to gather together, pool or collect / to happen by chance / to move close to / to exploit an opportunity"
溪,qi1 / xi1,xī,"creek, creek
variant of 溪[xi1]"
蠢,chun3,chǔn,"blunt / stupid / to wiggle (of worms) / sluggish
stupid / sluggish / clumsy / to wiggle (of worms) / to move in a disorderly fashion"
禅,chan2 / shan4,shàn,"meditation / abstraction / (Zen) Buddhism, abdicate
to abdicate"
阐,chan3,chǎn,"to express / disclose / enlighten / open
to express / to disclose / to enlighten / to open"
旺,wang4,wàng,"prosperous / flourishing / to prosper / to flourish
prosperous / flourishing / (of flowers) blooming / (of fire) roaring"
寓,yu4,yù,"reside / residence
variant of 寓[yu4]"
藤,teng2,téng,"rattan / cane
rattan / cane / vine"
匪,fei3,fěi,"bandit
bandit / (literary) not"
伞,san3,sǎn,"umbrella / parasol
damask silk / variant of 傘|伞[san3]"
碑,bei1,bēi,"a monument / an upright stone tablet / stele
a monument / an upright stone tablet / stele / CL:塊|块[kuai4],面[mian4]"
挪,nuo2,nuó,"to shift / to move
to shift / to move"
琼,qiong2,qióng,"(red stone) / beautiful
jasper / fine jade / beautiful / exquisite (e.g. wine, food) / abbr. for Hainan province"
脂,zhi1,zhī,"fat
fat / rouge (cosmetics) / resin"
谎,huang3,huǎng,"lies / to lie
lies / to lie"
慨,kai3,kǎi,"generous / sad
indignant / generous / to sigh (with emotion)"
菩,pu2,pú,"Bodhisattva
Bodhisattva"
萄,tao2,táo,"grapes
see 葡萄[pu2 tao5]"
狮,shi1,shī,"lion
lion"
掘,jue2,jué,"dig
to dig"
抄,chao1,chāo,"to copy / to plagiarize / to search and seize / to go / to transcribe / to take a shortcut / to search and confiscate
to make a copy / to plagiarize / to search and seize / to raid / to grab / to go off with / to take a shortcut / to make a turning move / to fold one's arms"
岭,ling3,líng,"mountain range
mountain range / mountain ridge"
晕,yun1 / yun4,yūn,"confused / dizzy / giddy / faint / swoon / lose consciousness / pass out, dizzy / ring around moon or sun
dizzy / halo / ring around moon or sun"
逮,dai3 / dai4,dài,"arrest / catch / seize / until, catch / seize / until
(literary) to arrest / to seize / to overtake / until"
砍,kan3,kǎn,"to chop
to chop / to cut down / to throw sth at sb"
掏,tao1,tāo,"fish out (from pocket)
variant of 掏[tao1]"
狄,di2,dí,"(surname) / barbarians / name of a tribe
low ranking public official (old)"
晰,xi1,xī,"understanding
white / variant of 晰[xi1]"
罕,han3,hǎn,"rare
rare"
挽,wan3,wǎn,"draw / pull / send funeral ode
variant of 挽[wan3] / to draw (a cart) / to lament the dead"
脾,pi2,pí,"spleen
spleen"
舟,zhou1,zhōu,"boat
boat"
痴,chi1,chī,"imbecile / sentimental / stupid / foolish / silly, imbecile / sentimental
variant of 痴[chi1]"
蔡,cai4,cài,"(surname)
surname Cai"
剪,jian3,jiǎn,"cut with scissors / scissors
scissors / shears / clippers / CL:把[ba3] / to cut with scissors / to trim / to wipe out or exterminate"
脊,ji3,jí,"spine / back / ridge
spine / back / ridge / Taiwan pr. [ji2] or [ji3]"
弓,gong1,gōng,"a bow (weapon)
a bow (weapon) / CL:張|张[zhang1] / to bend / to arch (one's back etc)"
懒,lan3,lǎn,"lazy
lazy"
叉,cha1 / cha2 / cha3,chā,"fork / pitchfork / prong / pick / cross / intersect, to cross / be stuck, to diverge / to open (as legs)
to diverge / to open (as legs)"
拐,guai3,guǎi,"kidnap / to turn
to turn (a corner etc) / to kidnap / to swindle / to misappropriate / walking stick / crutch / seven (used as a substitute for 七[qi1])"
喃,nan2,nán,"mumble in repetition
mumble in repetition"
僚,liao2,liáo,"bureaucrat
bureaucrat / colleague"
捐,juan1,juān,"to contribute / to donate / tax / to abandon
to contribute / to donate / contribution / tax / to abandon"
姊,zi3,zǐ,"older sister
older sister / Taiwan pr. [jie3]"
骚,sao1,sāo,"have sex appeal
trouble / disturbance / rumpus / flirty / coquettish / abbr. for 離騷|离骚[Li2 Sao1] / literary writings / smell of urine / foul smell / male (animal) (dialect)"
拓,ta4 / tuo4,tuò,"make rubbing, expand / support on palm / to develop / to open up
to expand / to push sth with the hand / to develop / to open up"
歪,wai1,wāi,"askew
to sprain (one's ankle) (Tw)"
粘,nian2 / zhan1,nián,"sticky, to stick / paste
to glue / to stick / to paste"
柄,bing3,bǐng,"authority / handle / hilt
handle or shaft (of an axe etc) / (of a flower, leaf or fruit) stem / sth that affords an advantage to an opponent / classifier for knives or blades"
坑,keng1,kēng,"pit / to defraud
variant of 坑[keng1] / pit / hole"
陌,mo4,mò,"raised path / street
raised path / street"
窄,zhai3,zhǎi,"narrow
narrow / narrow-minded / badly off"
湘,xiang1,xiāng,"name of a river
abbr. for Hunan 湖南 province in south central China / abbr. for Xiangjiang river in Hunan province"
兆,zhao4,zhào,"omen / million / million million, trillion
omen / to foretell / million / mega- / trillion / tera- / billion (old)"
崖,yai2 / ya2,yá,"precipice
precipice / cliff / Taiwan pr. [yai2]"
骄,jiao1,jiāo,"proud / arrogant
proud / arrogant"
刹,cha4 / sha1,chà,"Buddhist monastery or temple / a brief moment, to brake (car)
to brake"
鞭,bian1,biān,"a whip or lash / to flog / slash or whip
whip or lash / to flog / to whip / conductor's baton / segmented iron weapon (old) / penis (of animal, served as food)"
芒,mang2,máng,"Miscanthus sinensis
awn (of cereals) / arista (of grain) / tip (of a blade) / Miscanthus sinensis (type of grass) / variant of 邙, Mt Mang at Luoyang in Henan"
筋,jin1,jīn,"muscle
muscle / tendon"
聘,pin4,pìn,"betrothed / engage (teacher) / hire
to engage (a teacher etc) / to hire / to betroth / betrothal gift / to get married (of woman)"
钩,gou1,gōu,"entice / hook
to hook / to sew / to crochet / hook / check mark or tick / window catch"
棍,gun4,gùn,"stick
stick / rod / truncheon"
嚷,rang3,rǎng,"blurt out / to shout
to blurt out / to shout"
腺,xian4,xiàn,"gland
gland"
弦,xian2,xián,"bow string / string of mus. instr., string of mus. instr.
bow string / string of musical instrument / watchspring / chord (segment of curve) / hypotenuse / CL:根[gen1]"
焰,yan4,yàn,"flame
variant of 焰[yan4]"
耍,shua3,shuǎ,"play with / to juggle
to play with / to wield / to act (cool etc) / to display (a skill, one's temper etc)"
俯,fu3,fǔ,"look down / stoop
variant of 俯[fu3]"
厘,li2,lí,"one thousandth
one hundredth / centi-"
愣,leng4,lèng,"to look distracted / to stare blankly / distracted / stupefied / blank
to look distracted / to stare blankly / distracted / blank / (coll.) unexpectedly / rash / rashly"
厦,sha4 / xia4,shà,"tall building, tall building
tall building / mansion / rear annex / lean-to / also pr. [xia4]"
恳,ken3,kěn,"earnest
earnest"
饶,rao2,ráo,"(surname) / to spare
rich / abundant / exuberant / to add for free / to throw in as bonus / to spare / to forgive / despite / although"
钉,ding1 / ding4,dīng,"nail
to join things together by fixing them in place at one or more points / to nail / to pin / to staple / to sew on"
寡,gua3,guǎ,"few / widowed
few / scant / widowed"
憾,han4,hàn,"regret
regret (sense of loss or dissatisfaction)"
摔,shuai1,shuāi,"throw on ground / to fall
to throw down / to fall / to drop and break"
叠,die2,dié,"fold up / repeat
to fold / to fold over in layers / to furl / to layer / to pile up / to repeat / to duplicate"
惹,re3,rě,"to provoke / to exasperate / to annoy
to provoke / to irritate / to vex / to stir up / to anger / to attract (troubles) / to cause (problems)"
喻,yu4,yù,"allegory
to describe sth as / an analogy / a simile / a metaphor / an allegory"
谱,pu3,pǔ,"chart / list / score (music) / spectrum (math.)(phys.)
chart / list / table / register / score (music) / spectrum (physics) / to set to music"
愧,kui4,kùi,"ashamed
ashamed"
煌,huang2,huáng,"brilliant
brilliant"
徽,hui1,hūi,"insignia
badge / emblem / insignia / crest / logo / coat of arms"
溶,rong2,róng,"dissolve
to dissolve / soluble"
坠,zhui4,zhùi,"fall
to fall / to drop / to weigh down"
