ch,pyn,py,en
斯,si1,sī,"(phonetic) / this
(phonetic) / this"
月,yue4,yuè,"moon / month
moon / month / monthly / CL:個|个[ge4],輪|轮[lun2]"
话,hua4,huà,"dialect / language / spoken words / speech / talk / words / conversation / what someone said
old variant of 話|话[hua4]"
合,ge3 / he2,hé,"one-tenth of a peck, Chinese musical note / fit / to join
variant of 合[he2]"
回,hui2,húi,"(a measure word for matters or actions) a time / to circle / to go back / to turn around / to answer / to return / to revolve / Islam
variant of 迴|回[hui2]"
特,te2 / te4,tè,"special / unusual / extraordinary, male animal / special (-ly)
special / unique / distinguished / especially / unusual / very"
代,dai4,dài,"substitute / replace / generation / dynasty / geological era / era / age / period
to substitute / to act on behalf of others / to replace / generation / dynasty / age / period / (historical) era / (geological) eon"
内,nei4,nèi,"inside / inner / internal / within / interior
inside / inner / internal / within / interior"
信,xin4,xìn,"letter / true / to believe / sign / evidence
letter / mail / CL:封[feng1] / to trust / to believe / to profess faith in / truthful / confidence / trust / at will / at random"
表,biao3,biǎo,"surface / exterior / to watch / to show / express / an example / a list or table / a meter / a watch / chart / external
wrist or pocket watch"
化,hua4,huà,"to make into / to change into / -ization / to ... -ize / to transform
to make into / to change into / -ization / to ... -ize / to transform / abbr. for 化學|化学[hua4 xue2]"
老,lao3,lǎo,"(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity) / old (of people)
prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity / old (of people) / venerable (person) / experienced / of long standing / always / all the time / of the past / very / outdated / (of meat etc) tough"
给,gei3 / ji3,gěi,"to / for / for the benefit of / to give / to allow / to do sth (for sb) / (passive particle), to supply / provide
to supply / to provide"
世,shi4,shì,"life / age / generation / era / world / lifetime
life / age / generation / era / world / lifetime / epoch / descendant / noble"
位,wei4,wèi,"position / location / (measure word for persons) / place / seat
position / location / place / seat / classifier for people (honorific) / classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)"
次,ci4,cì,"nth / number (of times) / order / sequence / next / second(ary) / (measure word)
next in sequence / second / the second (day, time etc) / secondary / vice- / sub- / infra- / inferior quality / substandard / order / sequence / hypo- (chemistry) / classifier for enumerated events: time"
度,du4,dù,"capacity / degree / standard
to estimate / Taiwan pr. [duo4]"
门,men2,mén,"opening / door / gate / doorway / gateway / valve / switch / way to do something / knack / family / house / (religious) sect / school (of thought) / class / category / phylum or division (taxonomy)
gate / door / CL:扇[shan4] / gateway / doorway / CL:個|个[ge4] / opening / valve / switch / way to do something / knack / family / house / (religious) sect / school (of thought) / class / category / phylum or division (taxonomy) / classifier for large guns / classifier for lessons, subjects, branches of technology / (suffix) -gate (i.e. scandal; derived from Watergate)"
任,ren4,rèn,"to assign / to appoint / office / responsibility
to assign / to appoint / to take up a post / office / responsibility / to let / to allow / to give free rein to / no matter (how, what etc) / classifier for the number of terms served in office, post, or rank"
常,chang2,cháng,"always / ever / often / frequently / common / general / constant
always / ever / often / frequently / common / general / constant"
先,xian1,xiān,"early / prior / former / in advance / first
early / prior / former / in advance / first"
海,hai3,hǎi,"ocean / sea
ocean / sea / CL:個|个[ge4],片[pian4] / great number of people or things / (dialect) numerous"
通,tong1,tōng,"go through / know well / to connect / to communicate / open
classifier for an activity, taken in its entirety (tirade of abuse, stint of music playing, bout of drinking etc)"
教,jiao1 / jiao4,jiào,"teach, religion / teaching
religion / teaching / to make / to cause / to tell"
儿,er2 / er,ér,"son, non-syllabic dimi. suff.
non-syllabic diminutive suffix / retroflex final"
原,yuan2,yuán,"former / original / primary / raw / level / cause / source
former / original / primary / raw / level / cause / source"
东,dong1,dōng,"east
east / host (i.e. sitting on east side of guest) / landlord"
声,sheng1,shēng,"sound / voice / (a measure word, used for sounds) / tone / noise
sound / voice / tone / noise / classifier for sounds"
提,di1 / ti2,tí,"carry (suspended), to carry / to lift / to put forward / (upwards character stroke) / lifting (brush stroke in painting) / to mention
to carry (hanging down from the hand) / to lift / to put forward / to mention / to raise (an issue) / upwards character stroke / lifting brush stroke (in painting) / scoop for measuring liquid"
立,li4,lì,"set up / to stand
to stand / to set up / to establish / to lay down / to draw up / at once / immediately"
及,ji2,jí,"to reach / and
and / to reach / up to / in time for"
比,bi3 / bi4,bǐ,"(particle used for comparison and ""-er than"") / to compare / to contrast / to gesture (with hands) / ratio, associate with / be near
to associate with / to be near"
员,yuan2,yuán,"person / employee / member
person / employee / member"
解,jie3 / jie4 / xie4,jiě,"to separate / to divide / to break up / to loosen / to explain / to untie / to emancipate, transport under guard, (surname)
acrobatic display (esp. on horseback) (old) / variant of 懈[xie4] and 邂[xie4] (old)"
水,shui3,shǔi,"water / river
water / river / liquid / beverage / additional charges or income / (of clothes) classifier for number of washes"
